Estudo de Caso 1- Sistema de 3 barras;;;;;;;;;;;;;;;Estudo de Caso 5- Sistema de 30 barras;;;;;;;;;;;;
;DE;;;;DE+Curva;;;;Proposto;;;;;;;DE;;;;DE+Curva;;;;Proposto;;;
R8;0.17;2.5;0.5015;1;0.1653;2.1;0.0911;3;0.1045;2.5;0.0819;3;;;R19;0.05;2.71;0.2001;1;0.0501;2.71;0.1331;3;0.05;2.71;0.1328;3
R9;0.1473;2.5;0.5542;1;0.1167;1.6;0.1002;3;0.1077;1.5;0.0812;3;;;R20;0.05;3.63;0.2626;1;0.0523;2.74;0.1789;3;0.05;2.25;0.1138;3
R10;0.1759;2.5;0.647;1;0.104;2.3;0.1716;3;0.1007;2.2;0.1518;3;;;R21;0.05;1.05;0.1266;1;0.0506;1.08;0.0198;3;0.05;1.11;0.0207;3
R11;0.1869;2.5;0.7054;1;0.1447;2;0.1974;3;0.1056;2.2;0.175;3;;;R22;0.05;3.67;0.2309;1;0.0532;2.54;0.1051;3;0.05;2.23;0.0757;3
R12;0.2664;2.5;0.7973;1;0.4243;1.9;0.204;3;0.2207;2.5;0.1846;3;;;R23;0.05;4.56;0.2679;1;0.0877;2.33;0.1416;3;0.0525;2.77;0.1208;3
R13;0.1;2.5;0.4288;1;0.1007;1.1;0.0633;3;0.1204;0.9;0.0505;3;;;R24;0.05;2.96;0.2138;1;0.0522;2.16;0.0906;3;0.0524;1.91;0.0708;3
R14;0.2459;2.5;0.654;1;0.2338;2;0.0711;3;0.1269;2.5;0.0604;3;;;R25;0.05;1.05;0.126;1;0.0531;1.07;0.0199;3;0.05;1.05;0.0181;3
;;;;;;;;;;;;;;;R26;0.05;3.31;0.226;1;0.0552;2.93;0.1704;3;0.05;2.29;0.0928;3
;;;;;;;;;;;;;;;R27;0.05;3.46;0.2307;1;0.0501;3.46;0.1956;2;0.05;3.47;0.196;2
Estudo de Caso 3- Sistema de 13 barras;;;;;;;;;;;;;;;R28;0.05;1.32;0.1437;1;0.05;1.32;0.0346;3;0.05;1.32;0.0346;3
;DE;;;;DE+Curva;;;;Proposto;;;;;;R29;0.05;3.06;0.2099;1;0.0506;2.9;0.1415;3;0.05;2.64;0.1152;3
Relé;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva;;;R30;0.05;2.5;0.2023;1;0.0508;2.5;0.14;3;0.05;2.5;0.1378;3
R1;0.23;4.42;0.5658;1;0.45;4.82;0.1697;3;0.44;4.86;0.1693;3;;;R31;0.05;3.25;0.2106;1;0.05;2.67;0.1055;3;0.05;2.67;0.1054;3
R2;0.14;1.52;0.2271;1;0.3;1.62;0.07;2;0.29;1.65;0.0699;2;;;R32;0.05;2.9;0.2116;1;0.05;2.5;0.1183;3;0.05;2.51;0.1191;3
R3;0.05;4.25;0.1074;1;0.05;4.25;0.0073;3;0.05;4.25;0.0073;3;;;R33;0.05;2.93;0.2085;1;0.0505;2.94;0.1624;2;0.05;2.94;0.1538;3
R4;0.15;4.96;0.5355;1;0.19;4.58;0.4;2;0.23;4.95;0.3996;1;;;R34;0.05;2.87;0.1994;1;0.0503;2.87;0.1318;3;0.05;2.89;0.1331;3
R5;0.11;5.04;0.3351;1;0.25;4.74;0.1999;3;0.21;5.18;0.1996;3;;;R35;0.05;4.47;0.2945;1;0.051;2.68;0.1448;3;0.0575;2.42;0.1324;3
R6;0.05;4.44;0.1502;1;0.05;4.44;0.0425;3;0.05;4.44;0.0425;3;;;R36;0.0501;3.77;0.2341;1;0.0595;2.26;0.0912;3;0.0535;2.31;0.0858;3
R7;0.05;2.25;0.0941;1;0.05;2.25;0.0031;3;0.05;2.25;0.0031;3;;;R37;0.05;4.18;0.2551;1;0.05;3.29;0.1725;3;0.0542;2.27;0.0871;3
;;;;;;;;;;;;;;;R38;0.05;3.92;0.2422;1;0.0529;2.61;0.1113;3;0.0532;2.52;0.1042;3
;;;;;;;;;;;;;;;R39;0.05;5.93;0.3705;1;0.05;4.79;0.313;2;0.0547;3.27;0.2149;3
Estudo de Caso 4- Sistema de 15 barras;;;;;;;;;;;;;;;R40;0.05;4.91;0.3085;1;0.0516;2.92;0.1609;3;0.0656;2.52;0.1509;3
;DE;;;;DE+Curva;;;;Proposto;;;;;;R41;0.05;4.83;0.3389;1;0.0987;2.13;0.2038;3;0.0577;2.74;0.2004;3
Relé;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva;TMS;MC;Tempo  relé;Curva;;;R42;0.05;5.84;0.3952;1;0.1132;2.27;0.2428;3;0.0743;2.73;0.2332;3
R1;0.1;2.5;0.3108;1;0.1;1;0.0157;3;0.322;0.5;0.0126;3;;;R43;0.05;3.56;0.2397;1;0.0506;2.52;0.1174;3;0.05;2.49;0.1131;3
R2;0.1;2.5;0.3368;1;0.1001;1;0.0219;3;0.1756;0.5;0.0096;3;;;R44;0.05;3.15;0.2308;1;0.0501;2.35;0.1157;3;0.05;2.36;0.1164;3
R3;0.1;2.5;0.2976;1;0.1002;2;0.052;3;0.221;1;0.0286;3;;;R45;0.05;4.17;0.2665;1;0.0501;2.84;0.144;3;0.0612;2.18;0.1021;3
R4;0.1;2;0.3096;1;0.1;1.5;0.0544;3;0.3951;0.5;0.0237;3;;;R46;0.05;4.59;0.3127;1;0.1142;2.05;0.2035;3;0.0655;2.51;0.1771;3
R5;0.1;2.5;0.3239;1;0.1002;2;0.0752;3;0.1001;1.5;0.0421;3;;;R47;0.05;4.41;0.2637;1;0.0716;2.33;0.1188;3;0.0509;2.45;0.0937;3
R6;0.1046;2.5;0.329;1;0.1001;2;0.0664;3;0.122;1.5;0.0454;3;;;R48;0.05;2.42;0.1784;1;0.05;2.42;0.1155;2;0.05;2.42;0.0872;3
R7;0.1136;2;0.3315;1;0.1003;2;0.0748;3;0.1042;1.5;0.0435;3;;;R49;0.05;3.82;0.2465;1;0.0503;3.83;0.2231;2;0.05;3.83;0.2217;2
R8;0.1;2.5;0.3333;1;0.1002;2;0.0846;3;0.1245;1;0.0261;3;;;R50;0.05;1.04;0.1257;1;0.0502;1.04;0.0178;3;0.05;1.04;0.0178;3
R9;0.1;2.5;0.2996;1;0.1;2.5;0.084;3;0.212;1;0.0282;3;;;R51;0.05;4.99;0.3129;1;0.1251;2.15;0.2076;3;0.0592;2.67;0.1533;3
R10;0.1;2;0.2833;1;0.1002;1.5;0.0364;3;0.1419;1;0.0229;3;;;R52;0.05;5.01;0.2911;1;0.068;2.98;0.1848;3;0.0586;3.01;0.1625;3
R11;0.1;2;0.3109;1;0.1028;1;0.0252;3;0.1;1;0.0245;3;;;R53;0.05;3.68;0.2316;1;0.0658;2.24;0.1013;3;0.05;2.2;0.0741;3
R12;0.1;2.5;0.353;1;0.1001;2;0.1063;3;0.1022;1;0.0268;3;;;R54;0.05;3.95;0.2504;1;0.1041;1.94;0.1295;3;0.0867;2;0.1148;3
R13;0.106;2.5;0.3392;1;0.1002;2.5;0.1123;3;0.1084;1.5;0.0434;3;;;R55;0.05;3.41;0.2267;1;0.05;3.01;0.1545;3;0.05;2.22;0.0825;3
R14;0.1;2;0.3026;1;0.1003;1;0.0218;3;0.2643;0.5;0.0144;3;;;R56;0.05;4.18;0.2814;1;0.0561;2.42;0.1326;3;0.0677;2.12;0.122;3
R15;0.1;2.5;0.3327;1;0.1;1;0.0208;3;0.1927;0.5;0.01;3;;;R57;0.05;4.07;0.261;1;0.0551;2.57;0.1281;3;0.056;2.17;0.0921;3
R16;0.1979;0.5;0.3697;1;0.1001;1.5;0.0528;3;0.1067;1;0.0249;3;;;R58;0.05;3.59;0.2369;1;0.0657;2.15;0.1046;3;0.0501;2.09;0.0752;3
R17;0.1;2.5;0.3058;1;0.1002;2;0.0588;3;0.1463;1;0.0213;3;;;R59;0.05;3.75;0.2317;1;0.0547;2.53;0.104;3;0.05;2.42;0.0867;3
R18;0.1;2.5;0.2904;1;0.1012;1;0.0117;3;0.2012;0.5;0.0058;3;;;R60;0.05;4.32;0.2874;1;0.0501;2.99;0.1808;3;0.0604;2.22;0.1178;3
R19;0.1;2.5;0.2971;1;0.1;2;0.0516;3;0.1921;1;0.0246;3;;;R61;0.05;1.05;0.1325;1;0.0527;1.07;0.0256;3;0.05;1.05;0.0234;3
R20;0.1;2;0.275;1;0.1002;2;0.0563;3;0.3581;0.5;0.0125;3;;;R62;;;;;;;;;;;;
R21;0.1748;0.5;0.297;1;0.2942;0.5;0.0086;3;0.219;0.5;0.0064;3;;;R63;0.05;4.38;0.2738;1;0.0506;3.05;0.1636;3;0.0629;2.65;0.1519;3
R22;0.1;2;0.273;1;0.1002;2;0.0543;3;0.1684;1;0.0227;3;;;R64;0.05;4.75;0.3145;1;0.0556;3.32;0.2274;2;0.0597;2.42;0.1413;3
R23;0.1;2.5;0.326;1;0.1;1;0.0192;3;0.2121;0.5;0.0101;3;;;R65;0.05;2.64;0.2033;1;0.05;2.65;0.1413;3;0.05;2.65;0.1413;3
R24;0.1;2;0.303;1;0.1;1.5;0.0495;3;0.1088;1;0.0238;3;;;R66;0.05;2.86;0.2181;1;0.0502;2.88;0.1776;2;0.05;2.86;0.1753;2
R25;0.1;2.5;0.3375;1;0.1;2;0.0889;3;0.1818;1;0.0401;3;;;R67;0.05;3.26;0.2431;1;0.05;3.26;0.2153;2;0.05;3.27;0.2162;2
R26;0.1;2.5;0.3367;1;0.1001;2;0.0881;3;0.1571;1;0.0343;3;;;R68;0.05;3.46;0.2357;1;0.0501;3.46;0.2036;2;0.05;3.46;0.2033;2
R27;0.1098;2;0.354;1;0.1;2.5;0.1821;3;0.2148;1;0.0614;3;;;R69;0.05;3.49;0.2402;1;0.0526;2.38;0.1136;3;0.0541;2.26;0.1052;3
R28;0.1287;2;0.3739;1;0.1001;2.5;0.1146;3;0.1323;1.5;0.0541;3;;;R70;0.05;3.63;0.2279;1;0.0854;2.13;0.1161;3;0.0531;2.37;0.0897;3
R29;0.1;2;0.2656;1;0.1249;1;0.0147;3;0.1005;1;0.0118;3;;;R71;0.05;3.34;0.2143;1;0.0501;3.34;0.2149;1;0.05;3.34;0.1674;3
R30;0.1;2.5;0.317;1;0.9277;0.5;0.0394;3;0.1898;1;0.0323;3;;;R72;0.05;2.29;0.1796;1;0.0506;2.29;0.0903;3;0.05;2.29;0.0893;3
R31;0.1;2.5;0.3032;1;0.1008;1.5;0.0319;3;0.1502;1;0.0211;3;;;R73;0.05;2.73;0.1959;1;0.0504;2.73;0.1241;3;0.05;2.73;0.1232;3
R32;0.1;2.5;0.3555;1;0.1001;2;0.1092;3;0.104;1;0.0281;3;;;R74;0.05;3.59;0.2613;1;0.0504;3.59;0.3087;3;0.05;3.59;0.2454;2
R33;0.1089;2.5;0.3664;1;0.1001;2.5;0.1379;3;0.1199;1.5;0.0589;3;;;;;;;;;;;;;;;
R34;0.1153;2.5;0.3675;1;0.1;2.5;0.1103;3;0.1;2;0.0703;3;;;;;;;;;;;;;;;
R35;0.1;2.5;0.3532;1;0.1951;1;0.0514;3;0.1784;1;0.047;3;;;;;;;;;;;;;;;
R36;0.1;2.5;0.3256;1;0.1002;2;0.0769;3;0.1537;1;0.0293;3;;;;;;;;;;;;;;;
R37;0.1104;2.5;0.3586;1;0.1001;2;0.0759;3;0.1236;1.5;0.0525;3;;;;;;;;;;;;;;;
R38;0.1304;2;0.4113;1;0.1018;2;0.1073;3;0.152;1.5;0.0896;3;;;;;;;;;;;;;;;
R39;0.1142;2.5;0.3978;1;1.5211;0.5;0.0948;3;0.1505;1.5;0.0849;3;;;;;;;;;;;;;;;
R40;0.111;2.5;0.3693;1;0.1002;2;0.0841;3;0.1201;1.5;0.0565;3;;;;;;;;;;;;;;;
R41;0.1084;2.5;0.324;1;0.1;2.5;0.0832;3;0.1204;1.5;0.0358;3;;;;;;;;;;;;;;;
R42;0.1;2.5;0.325;1;0.1001;1.5;0.0427;3;0.1052;1;0.0199;3;;;;;;;;;;;;;;;
